Date,KOSPI200
1990-01-31,97.830002
1990-02-28,94.059998
1990-03-31,92.639999
1990-04-30,74.93
1990-05-31,87.669998
1990-06-30,79.389999
1990-07-31,75.169998
1990-08-31,66.760002
1990-09-30,66.309998
1990-10-31,76.32
1990-11-30,76.82
1990-12-31,76.610001
1991-01-31,69.82
1991-02-28,74.610001
1991-03-31,71.589996
1991-04-30,71.239998
1991-05-31,67.610001
1991-06-30,66.919998
1991-07-31,80.599998
1991-08-31,77.309998
1991-09-30,80.230003
1991-10-31,78.230003
1991-11-30,72.900002
1991-12-31,68.629997
1992-01-31,76.129997
1992-02-29,68.220001
1992-03-31,66.480003
1992-04-30,67.07
1992-05-31,61.310001
1992-06-30,60.889999
1992-07-31,56.5
1992-08-31,62.049999
1992-09-30,56.619999
1992-10-31,67.309998
1992-11-30,71.699997
1992-12-31,74.489998
1993-01-31,74.25
1993-02-28,69.949997
1993-03-31,73.279999
1993-04-30,79.510002
1993-05-31,82.989998
1993-06-30,81.709999
1993-07-31,79.300003
1993-08-31,73.239998
1993-09-30,78.599998
1993-10-31,80.370003
1993-11-30,88.879997
1993-12-31,96.190002
1994-01-31,105.81
1994-02-28,102.83
1994-03-31,97.029999
1994-04-30,101.58
1994-05-31,106.52
1994-06-30,105.27
1994-07-31,105.05
1994-08-31,107.97
1994-09-30,120.16
1994-10-31,126.1
1994-11-30,121.04
1994-12-31,113.51
1995-01-31,100.65
1995-02-28,98.900002
1995-03-31,104.86
1995-04-30,101.93
1995-05-31,99.959999
1995-06-30,101.3
1995-07-31,105.69
1995-08-31,103.45
1995-09-30,112.45
1995-10-31,113.08
1995-11-30,104.82
1995-12-31,100.04
1996-01-31,99.019997
1996-02-29,96.220001
1996-03-31,97.620003
1996-04-30,110.11
1996-05-31,98.949997
1996-06-30,89.68
1996-07-31,88.650002
1996-08-31,84.18
1996-09-30,82.660004
1996-10-31,87.120003
1996-11-30,76.589996
1996-12-31,72.410004
1997-01-31,71.610001
1997-02-28,69.239998
1997-03-31,68.720001
1997-04-30,71.209999
1997-05-31,76.5
1997-06-30,77.5
1997-07-31,74.919998
1997-08-31,73.559998
1997-09-30,68.07
1997-10-31,49.580002
1997-11-30,43.950001
1997-12-31,41.959999
1998-01-31,64.480003
1998-02-28,64.160004
1998-03-31,55.279999
1998-04-30,49.389999
1998-05-31,39.279999
1998-06-30,34.369999
1998-07-31,39.509998
1998-08-31,35.549999
1998-09-30,35.450001
1998-10-31,45.68
1998-11-30,51.93
1998-12-31,64.940002
1999-01-31,65.720001
1999-02-28,60.279999
1999-03-31,71.839996
1999-04-30,87.150002
1999-05-31,85.68
1999-06-30,105.47
1999-07-31,116.14
1999-08-31,112.79
1999-09-30,100.71
1999-10-31,100.19
1999-11-30,123.59
1999-12-31,130.02
2000-01-31,119.08
2000-02-29,103.8
2000-03-31,108.03
2000-04-30,91.209999
2000-05-31,92.739998
2000-06-30,104.43
2000-07-31,89.349998
2000-08-31,86.540001
2000-09-30,76.370003
2000-10-31,64.0
2000-11-30,63.48
2000-12-31,63.349998
2001-01-31,77.980003
2001-02-28,72.139999
2001-03-31,65.160004
2001-04-30,72.449997
2001-05-31,78.330002
2001-06-30,73.199997
2001-07-31,66.980003
2001-08-31,67.419998
2001-09-30,58.91
2001-10-31,66.440002
2001-11-30,80.029999
2001-12-31,86.970001
2002-01-31,92.989998
2002-02-28,102.62
2002-03-31,111.84
2002-04-30,106.39
2002-05-31,100.8
2002-06-30,93.690002
2002-07-31,90.160004
2002-08-31,92.550003
2002-09-30,81.370003
2002-10-31,83.099998
2002-11-30,92.050003
2002-12-31,79.870003
2003-01-31,75.220001
2003-02-28,72.849998
2003-03-31,68.050003
2003-04-30,76.449997
2003-05-31,80.529999
2003-06-30,85.470001
2003-07-31,91.519997
2003-08-31,97.589996
2003-09-30,89.550003
2003-10-31,101.44
2003-11-30,103.61
2003-12-31,105.21
2004-01-31,110.89
2004-02-29,115.92
2004-03-31,115.98
2004-04-30,112.4
2004-05-31,104.14
2004-06-30,101.85
2004-07-31,95.269997
2004-08-31,102.89
2004-09-30,107.69
2004-10-31,107.99
2004-11-30,113.4
2004-12-31,115.25
2005-01-31,121.06
2005-02-28,130.85001
2005-03-31,124.78
2005-04-30,117.58
2005-05-31,124.84
2005-06-30,129.42999
2005-07-31,143.32001
2005-08-31,140.09
2005-09-30,157.55
2005-10-31,148.84
2005-11-30,165.95
2005-12-31,177.42999
2006-01-31,180.64999
2006-02-28,177.45
2006-03-31,176.21001
2006-04-30,184.10001
2006-05-31,171.00999
2006-06-30,167.45
2006-07-31,168.50999
2006-08-31,175.44
2006-09-30,178.05
2006-10-31,176.84
2006-11-30,184.96001
2006-12-31,185.39
2007-01-31,175.99001
2007-02-28,183.2
2007-03-31,187.60001
2007-04-30,198.55
2007-05-31,216.45
2007-06-30,221.31
2007-07-31,244.32001
2007-08-31,238.28
2007-09-30,247.2
2007-10-31,260.42001
2007-11-30,241.91
2007-12-31,241.27
2008-01-31,207.77
2008-02-29,216.85001
2008-03-31,217.64999
2008-04-30,235.0
2008-05-31,237.46001
2008-06-30,213.52
2008-07-31,204.12
2008-08-31,188.96001
2008-09-30,186.62
2008-10-31,147.5
2008-11-30,140.66
2008-12-31,146.35001
2009-01-31,151.33
2009-02-28,138.07001
2009-03-31,157.00999
2009-04-30,176.0
2009-05-31,178.7
2009-06-30,178.99001
2009-07-31,202.96001
2009-08-31,207.44
2009-09-30,219.75
2009-10-31,206.81
2009-11-30,204.75
2009-12-31,221.86
2010-01-31,210.34
2010-02-28,208.36
2010-03-31,221.58
2010-04-30,227.95
2010-05-31,214.34
2010-06-30,220.85001
2010-07-31,229.25
2010-08-31,226.81
2010-09-30,242.95
2010-10-31,242.98
2010-11-30,249.64
2010-12-31,271.19
2011-01-31,273.12
2011-02-28,256.35999
2011-03-31,278.87
2011-04-30,290.39001
2011-05-31,282.76001
2011-06-30,275.17001
2011-07-31,277.10999
2011-08-31,242.16
2011-09-30,230.41
2011-10-31,249.88
2011-11-30,241.19
2011-12-31,238.08
2012-01-31,256.89999
2012-02-29,267.13
2012-03-31,266.57999
2012-04-30,264.35001
2012-05-31,244.05
