Date,export_amount,import_amount,trade_balance,country_name
1991-01-31,4536452230,5811713237,-1275261007,총계
1991-02-28,4768191801,6440713694,-1672521893,총계
1991-03-31,5608345247,6540481585,-932136338,총계
1991-04-30,5728742198,6532563021,-803820823,총계
1991-05-31,6020946127,6718928911,-697982784,총계
1991-06-30,6494215010,6231363561,262851449,총계
1991-07-31,5427406797,6736632770,-1309225973,총계
1991-08-31,5632993110,6133200874,-500207764,총계
1991-09-30,5547390038,6061130160,-513740122,총계
1991-10-31,6461198489,6642162205,-180963716,총계
1991-11-30,6434115686,6938148865,-504033179,총계
1991-12-31,7386270199,6338899439,1047370760,총계
1992-01-31,5338670360,7293917700,-1955247340,총계
1992-02-29,5093966251,6320380775,-1226414524,총계
1992-03-31,6377442549,7144375344,-766932795,총계
1992-04-30,6323157327,6779397306,-456239979,총계
1992-05-31,6309249936,6889571280,-580321344,총계
1992-06-30,7024769359,7204419352,-179649993,총계
1992-07-31,6324496800,7113432091,-788935291,총계
1992-08-31,6151810508,6043710973,108099535,총계
1992-09-30,6604266907,6082355227,521911680,총계
1992-10-31,7102559285,7196151885,-93592600,총계
1992-11-30,6606070302,6366844753,239225549,총계
1992-12-31,6959188989,6829286110,129902879,총계
1993-01-31,5319647173,6298092292,-978445119,총계
1993-02-28,5907235134,6481660980,-574425846,총계
1993-03-31,6888666976,7156762801,-268095825,총계
1993-04-30,6737194145,6841733893,-104539748,총계
1993-05-31,6724267451,6930448953,-206181502,총계
1993-06-30,7229207448,7520973825,-291766377,총계
1993-07-31,6650800457,7168232558,-517432101,총계
1993-08-31,6505677696,6547901349,-42223653,총계
1993-09-30,7174008778,7004949229,169059549,총계
1993-10-31,7444516948,6995545370,448971578,총계
1993-11-30,7319274151,7241283139,77991012,총계
1993-12-31,8071417763,7439993417,631424346,총계
1994-01-31,6056109203,7510440310,-1454331107,총계
1994-02-28,6183495628,6682239551,-498743923,총계
1994-03-31,7597062274,8292623274,-695561000,총계
1994-04-30,7651209555,8044368783,-393159228,총계
1994-05-31,7843191567,8434408593,-591217026,총계
1994-06-30,8287340784,8264017959,23322825,총계
1994-07-31,7594417705,8304478099,-710060394,총계
1994-08-31,7561174704,8541600332,-980425628,총계
1994-09-30,8231595652,8784690960,-553095308,총계
1994-10-31,8849397877,9067147496,-217749619,총계
1994-11-30,9203428386,9535740448,-332312062,총계
1994-12-31,10538722546,10566438643,-27716097,총계
1995-01-31,7763771216,8965013095,-1201241879,총계
1995-02-28,8430051897,9891617062,-1461565165,총계
1995-03-31,9998218469,11666126617,-1667908148,총계
1995-04-30,10158376175,11092249609,-933873434,총계
1995-05-31,10645669269,11816728458,-1171059189,총계
1995-06-30,11245523401,11832679470,-587156069,총계
1995-07-31,10485091425,11309399888,-824308463,총계
1995-08-31,10613203185,11514668081,-901464896,총계
1995-09-30,10973969581,11616819814,-642850233,총계
1995-10-31,11524428519,11731534393,-207105874,총계
1995-11-30,11462588898,11876143955,-413555057,총계
1995-12-31,11757096393,11805949247,-48852854,총계
1996-01-31,9922981251,12047457301,-2124476050,총계
1996-02-29,9883553611,11482428526,-1598874915,총계
1996-03-31,11689416879,12135318044,-445901165,총계
1996-04-30,10637202845,12673210791,-2036007946,총계
1996-05-31,11235754184,12678766749,-1443012565,총계
1996-06-30,11302160444,11727731344,-425570900,총계
1996-07-31,9896713427,12729187211,-2832473784,총계
1996-08-31,9687368263,12958666440,-3271298177,총계
1996-09-30,9992278252,11403952915,-1411674663,총계
1996-10-31,11848367990,13544125228,-1695757238,총계
1996-11-30,11399314594,13360932880,-1961618286,총계
1996-12-31,12220025446,13597512566,-1377487120,총계
1997-01-31,9034439478,12510306919,-3475867441,총계
1997-02-28,9362327717,11484076823,-2121749106,총계
1997-03-31,11326863891,13055904412,-1729040521,총계
1997-04-30,11395616590,12801748025,-1406131435,총계
1997-05-31,11744573099,12272733538,-528160439,총계
1997-06-30,12391592988,12287142599,104450389,총계
1997-07-31,11806837510,12643411332,-836573822,총계
1997-08-31,11040482671,11498318615,-457835944,총계
1997-09-30,11334410402,11545979139,-211568737,총계
1997-10-31,12465302269,12590941554,-125639285,총계
1997-11-30,11833848129,11710123858,123724271,총계
1997-12-31,12427908948,10215687682,2212221266,총계
1998-01-31,9000456188,7482425124,1518031064,총계
1998-02-28,11221887339,7884586623,3337300716,총계
1998-03-31,12009284292,8287707239,3721577053,총계
1998-04-30,12060648650,8208606372,3852042278,총계
1998-05-31,11308331810,7586359537,3721972273,총계
1998-06-30,11508915658,7746199267,3762716391,총계
1998-07-31,10023785131,7091442684,2932342447,총계
1998-08-31,9709131379,7117894731,2591236648,총계
1998-09-30,10748282613,7252758616,3495523997,총계
1998-10-31,10633666835,7647718877,2985947958,총계
1998-11-30,11669584960,8326775959,3342809001,총계
1998-12-31,12419167897,8649279254,3769888643,총계
1999-01-31,9259511330,8628684191,630827139,총계
1999-02-28,9337212439,7633785958,1703426481,총계
1999-03-31,11657189904,9304210663,2352979241,총계
1999-04-30,11499780227,9100919599,2398860628,총계
1999-05-31,11422801076,9456148400,1966652676,총계
1999-06-30,12819358001,10203210472,2616147529,총계
1999-07-31,11751364532,9777016754,1974347778,총계
1999-08-31,11369995480,9855040974,1514954506,총계
1999-09-30,11966385502,10126647828,1839737674,총계
1999-10-31,13449648208,11357687565,2091960643,총계
1999-11-30,14196950601,11730402772,2466547829,총계
1999-12-31,14955261878,12578526821,2376735057,총계
