country_name,Date,ttm_export_amount,ttm_import_amount,ttm_trade_balance
총계,1991-12-31,70046266932.0,77125938322.0,-7079671390.0
총계,1992-01-31,70848485062.0,78608142785.0,-7759657723.0
총계,1992-02-29,71174259512.0,78487809866.0,-7313550354.0
총계,1992-03-31,71943356814.0,79091703625.0,-7148346811.0
총계,1992-04-30,72537771943.0,79338537910.0,-6800765967.0
총계,1992-05-31,72826075752.0,79509180279.0,-6683104527.0
총계,1992-06-30,73356630101.0,80482236070.0,-7125605969.0
총계,1992-07-31,74253720104.0,80859035391.0,-6605315287.0
총계,1992-08-31,74772537502.0,80769545490.0,-5997007988.0
총계,1992-09-30,75829414371.0,80790770557.0,-4961356186.0
총계,1992-10-31,76470775167.0,81344760237.0,-4873985070.0
총계,1992-11-30,76642729783.0,80773456125.0,-4130726342.0
총계,1992-12-31,76215648573.0,81263842796.0,-5048194223.0
총계,1993-01-31,76196625386.0,80268017388.0,-4071392002.0
총계,1993-02-28,77009894269.0,80429297593.0,-3419403324.0
총계,1993-03-31,77521118696.0,80441685050.0,-2920566354.0
총계,1993-04-30,77935155514.0,80504021637.0,-2568866123.0
총계,1993-05-31,78350173029.0,80544899310.0,-2194726281.0
총계,1993-06-30,78554611118.0,80861453783.0,-2306842665.0
총계,1993-07-31,78880914775.0,80916254250.0,-2035339475.0
총계,1993-08-31,79234781963.0,81420444626.0,-2185662663.0
총계,1993-09-30,79804523834.0,82343038628.0,-2538514794.0
총계,1993-10-31,80146481497.0,82142432113.0,-1995950616.0
총계,1993-11-30,80859685346.0,83016870499.0,-2157185153.0
총계,1993-12-31,81971914120.0,83627577806.0,-1655663686.0
총계,1994-01-31,82708376150.0,84839925824.0,-2131549674.0
총계,1994-02-28,82984636644.0,85040504395.0,-2055867751.0
총계,1994-03-31,83693031942.0,86176364868.0,-2483332926.0
총계,1994-04-30,84607047352.0,87378999758.0,-2771952406.0
총계,1994-05-31,85725971468.0,88882959398.0,-3156987930.0
총계,1994-06-30,86784104804.0,89626003532.0,-2841898728.0
총계,1994-07-31,87727722052.0,90762249073.0,-3034527021.0
총계,1994-08-31,88783219060.0,92755948056.0,-3972728996.0
총계,1994-09-30,89840805934.0,94535689787.0,-4694883853.0
총계,1994-10-31,91245686863.0,96607291913.0,-5361605050.0
총계,1994-11-30,93129841098.0,98901749222.0,-5771908124.0
총계,1994-12-31,95597145881.0,102028194448.0,-6431048567.0
총계,1995-01-31,97304807894.0,103482767233.0,-6177959339.0
총계,1995-02-28,99551364163.0,106692144744.0,-7140780581.0
총계,1995-03-31,101952520358.0,110065648087.0,-8113127729.0
총계,1995-04-30,104459686978.0,113113528913.0,-8653841935.0
총계,1995-05-31,107262164680.0,116495848778.0,-9233684098.0
총계,1995-06-30,110220347297.0,120064510289.0,-9844162992.0
총계,1995-07-31,113111021017.0,123069432078.0,-9958411061.0
총계,1995-08-31,116163049498.0,126042499827.0,-9879450329.0
총계,1995-09-30,118905423427.0,128874628681.0,-9969205254.0
총계,1995-10-31,121580454069.0,131539015578.0,-9958561509.0
총계,1995-11-30,123839614581.0,133879419085.0,-10039804504.0
총계,1995-12-31,125057988428.0,135118929689.0,-10060941261.0
총계,1996-01-31,127217198463.0,138201373895.0,-10984175432.0
총계,1996-02-29,128670700177.0,139792185359.0,-11121485182.0
총계,1996-03-31,130361898587.0,140261376786.0,-9899478199.0
