country_name,Date,ttm_yoy_export_amount,ttm_yoy_import_amount,ttm_yoy_trade_balance
가나,1992-12-31,38.5,-19.6,56.7
가나,1993-01-31,42.2,-36.4,68.2
가나,1993-02-28,35.4,-22.7,50.6
가나,1993-03-31,38.1,-31.8,57.0
가나,1993-04-30,30.3,-25.6,43.7
가나,1993-05-31,28.2,-4.6,34.1
가나,1993-06-30,17.9,4.6,20.0
가나,1993-07-31,15.8,13.4,16.1
가나,1993-08-31,11.8,10.7,11.9
가나,1993-09-30,8.5,0.3,9.7
가나,1993-10-31,11.9,137.0,-6.6
가나,1993-11-30,12.1,128.8,-6.0
가나,1993-12-31,1.6,154.9,-23.0
가나,1994-01-31,-4.3,211.7,-31.2
가나,1994-02-28,-9.2,178.3,-34.5
가나,1994-03-31,-11.9,212.7,-38.3
가나,1994-04-30,-12.0,295.2,-50.0
가나,1994-05-31,-13.5,488.1,-77.8
가나,1994-06-30,-2.7,570.7,-83.2
가나,1994-07-31,-2.3,743.3,-110.5
가나,1994-08-31,2.0,862.1,-117.1
가나,1994-09-30,0.2,886.9,-121.0
가나,1994-10-31,-2.7,271.2,-105.0
가나,1994-11-30,-2.3,271.6,-105.3
가나,1994-12-31,4.8,260.2,-130.8
가나,1995-01-31,10.6,267.5,-134.4
가나,1995-02-28,17.1,291.6,-140.1
가나,1995-03-31,24.2,289.6,-133.3
가나,1995-04-30,23.7,165.4,-115.3
가나,1995-05-31,29.0,43.1,-18.8
가나,1995-06-30,13.6,3.4,70.9
가나,1995-07-31,23.4,-39.1,-703.2
가나,1995-08-31,16.9,-53.2,-529.1
가나,1995-09-30,24.1,-47.1,-433.5
가나,1995-10-31,24.6,-39.9,-1770.5
가나,1995-11-30,22.6,-41.6,-1660.7
가나,1995-12-31,18.1,-72.9,-546.9
가나,1996-01-31,13.4,-76.8,-530.3
가나,1996-02-29,13.6,-81.5,-517.9
가나,1996-03-31,11.4,-81.3,-632.1
가나,1996-04-30,16.4,-78.7,-1607.2
가나,1996-05-31,16.7,-76.9,577.0
가나,1996-06-30,25.4,-70.0,348.6
가나,1996-07-31,16.5,-59.2,105.6
가나,1996-08-31,22.0,-45.6,79.4
가나,1996-09-30,20.2,-64.7,106.8
가나,1996-10-31,32.2,-64.3,128.7
가나,1996-11-30,40.0,-64.0,142.0
가나,1996-12-31,41.1,-35.3,69.9
가나,1997-01-31,45.0,-30.6,69.6
가나,1997-02-28,42.3,-18.5,57.4
가나,1997-03-31,38.2,-20.6,52.5
가나,1997-04-30,31.5,-25.7,45.3
가나,1997-05-31,26.8,-21.2,36.6
가나,1997-06-30,27.4,-37.5,42.1
가나,1997-07-31,27.2,-42.3,43.3
가나,1997-08-31,23.6,-52.9,43.3
가나,1997-09-30,20.0,-44.6,31.3
가나,1997-10-31,6.3,-49.5,15.0
가나,1997-11-30,0.2,-50.4,7.6
가나,1997-12-31,-0.2,-55.1,7.7
가나,1998-01-31,-4.7,-54.7,1.9
가나,1998-02-28,-5.5,-51.7,0.4
가나,1998-03-31,-2.6,-55.4,4.1
가나,1998-04-30,-1.9,-50.6,4.0
가나,1998-05-31,-1.4,-50.7,4.4
가나,1998-06-30,-7.9,-55.0,-3.2
가나,1998-07-31,-5.8,-57.0,-1.0
가나,1998-08-31,-10.1,-57.8,-6.0
가나,1998-09-30,-7.2,-36.8,-5.1
가나,1998-10-31,-7.7,-21.7,-6.7
가나,1998-11-30,-6.3,-13.3,-5.9
가나,1998-12-31,-7.7,20.6,-9.4
가나,1999-01-31,-2.1,27.4,-3.9
가나,1999-02-28,-3.1,13.2,-4.1
가나,1999-03-31,-5.3,136.5,-13.0
가나,1999-04-30,-3.0,112.8,-9.7
가나,1999-05-31,-1.5,130.9,-8.9
가나,1999-06-30,9.5,203.2,0.5
가나,1999-07-31,9.8,254.3,-0.1
가나,1999-08-31,15.6,272.2,5.9
가나,1999-09-30,14.1,178.6,6.1
가나,1999-10-31,15.9,141.7,8.6
가나,1999-11-30,16.2,119.0,9.8
가나,1999-12-31,15.3,59.7,11.8
가나,2000-01-31,9.8,61.1,5.7
가나,2000-02-29,12.8,74.4,8.3
가나,2000-03-31,13.9,-49.4,23.3
가나,2000-04-30,8.2,-43.1,15.3
가나,2000-05-31,5.6,-47.1,13.0
가나,2000-06-30,-6.4,-53.3,0.1
가나,2000-07-31,-11.1,-59.8,-4.0
가나,2000-08-31,-7.3,-52.1,-1.3
가나,2000-09-30,-10.8,-54.2,-5.2
가나,2000-10-31,-10.0,-50.2,-4.8
가나,2000-11-30,-10.3,-40.3,-6.6
