country_name,Date,yoy_export_amount,yoy_import_amount,yoy_trade_balance
가나,1992-12-31,105.7,270.9,91.9
가나,1993-01-31,74.6,-82.2,243.5
가나,1993-02-28,24.2,199.8,12.2
가나,1993-03-31,17.8,-51.2,59.3
가나,1993-04-30,0.4,53.1,-7.2
가나,1993-05-31,7.0,105601.8,0.7
가나,1993-06-30,-37.1,251.7,-44.3
가나,1993-07-31,-22.9,19.8,-26.8
가나,1993-08-31,0.5,-53.9,8.7
가나,1993-09-30,-7.2,-15.4,-5.8
가나,1993-10-31,37.1,3027.6,-187.7
가나,1993-11-30,1.2,17.8,-1.1
가나,1993-12-31,-23.4,367.5,-86.5
가나,1994-01-31,-21.8,142.6,-31.0
가나,1994-02-28,-30.4,-51.1,-26.6
가나,1994-03-31,-21.9,7.9,-27.4
가나,1994-04-30,-0.0,687.8,-163.4
가나,1994-05-31,-19.0,6236.1,-411.7
가나,1994-06-30,136.0,1705.8,-111.7
가나,1994-07-31,-22.5,2778.7,-442.3
가나,1994-08-31,58.7,2293.7,-85.1
가나,1994-09-30,-28.6,72.7,-45.1
가나,1994-10-31,-1.8,-90.6,-239.9
가나,1994-11-30,6.4,66.1,-3.6
가나,1994-12-31,42.1,244.2,-1089.8
가나,1995-01-31,50.5,431.2,-24.4
가나,1995-02-28,36.8,674.8,-40.6
가나,1995-03-31,70.1,-20.1,94.8
가나,1995-04-30,-5.6,-97.5,-277.0
가나,1995-05-31,60.4,-82.5,-122.0
가나,1995-06-30,-34.9,-94.1,-1474.6
가나,1995-07-31,162.6,-92.5,-158.9
가나,1995-08-31,-11.4,-98.2,889.1
가나,1995-09-30,70.6,369.8,-82.4
가나,1995-10-31,2.9,-29.7,8.8
가나,1995-11-30,-15.7,-66.2,-1.2
가나,1995-12-31,2.7,-95.4,-188.4
가나,1996-01-31,-6.9,-59.7,66.0
가나,1996-02-29,32.7,-83.2,215.7
가나,1996-03-31,23.3,19.7,23.7
가나,1996-04-30,64.3,225.1,57.7
가나,1996-05-31,47.6,-58.2,154.7
가나,1996-06-30,44.8,330.5,14.9
가나,1996-07-31,-5.5,25.2,-10.5
가나,1996-08-31,48.3,1734.7,17.2
가나,1996-09-30,28.8,-80.3,1516.4
가나,1996-10-31,146.9,12.5,162.6
가나,1996-11-30,102.5,-43.5,116.8
가나,1996-12-31,13.6,-5.5,15.6
가나,1997-01-31,37.0,-40.6,63.0
가나,1997-02-28,9.4,-47.7,14.2
가나,1997-03-31,-12.8,-25.8,-11.4
가나,1997-04-30,-12.2,-73.6,-7.0
가나,1997-05-31,-8.6,-45.4,-2.5
가나,1997-06-30,45.8,-54.3,85.1
가나,1997-07-31,-10.0,-44.4,-2.2
가나,1997-08-31,7.6,-38.7,21.0
가나,1997-09-30,-11.9,-96.4,2.1
가나,1997-10-31,-16.5,-81.8,-13.2
가나,1997-11-30,-15.3,-95.6,-13.3
가나,1997-12-31,8.1,-85.0,15.8
가나,1998-01-31,-31.3,-25.8,-31.9
가나,1998-02-28,-1.9,71.7,-4.8
가나,1998-03-31,31.0,-92.8,42.3
가나,1998-04-30,-4.0,214.6,-9.2
가나,1998-05-31,-0.8,-42.4,3.1
가나,1998-06-30,-30.3,-100.0,-23.5
가나,1998-07-31,24.9,-60.2,35.8
가나,1998-08-31,-40.7,-32.9,-41.8
가나,1998-09-30,30.9,2572.0,15.9
가나,1998-10-31,-22.1,477.3,-27.3
가나,1998-11-30,1.2,3713.2,-3.6
가나,1998-12-31,-6.8,1315.4,-21.0
가나,1999-01-31,57.8,15.9,63.3
가나,1999-02-28,-13.5,-100.0,-7.5
가나,1999-03-31,-2.0,14282.2,-67.6
가나,1999-04-30,32.0,-99.0,42.9
가나,1999-05-31,20.5,127.8,14.9
가나,1999-06-30,93.9,inf,83.5
가나,1999-07-31,25.8,225.3,18.3
가나,1999-08-31,20.7,-98.2,40.8
가나,1999-09-30,11.0,-30.6,16.7
가나,1999-10-31,-15.2,-22.1,-14.6
가나,1999-11-30,5.3,-95.9,10.5
가나,1999-12-31,-16.7,-65.4,-7.3
가나,2000-01-31,-19.8,35.4,-25.0
가나,2000-02-29,23.8,582.9,23.8
가나,2000-03-31,9.7,-86.8,206.6
가나,2000-04-30,-36.4,10138.6,-42.2
가나,2000-05-31,-12.7,-32.0,-10.7
가나,2000-06-30,-33.0,-47.0,-32.2
가나,2000-07-31,-31.1,-62.0,-27.9
가나,2000-08-31,76.1,4503.9,66.6
가나,2000-09-30,-29.0,-54.9,-26.9
가나,2000-10-31,-5.7,71.5,-11.6
가나,2000-11-30,0.2,6475.2,-12.3
가나,2000-12-31,67.9,-4.9,73.1
가나,2001-01-31,100.0,-51.1,125.8
가나,2001-02-28,24.9,50337.6,16.6
가나,2001-03-31,66.1,15.3,70.6
가나,2001-04-30,156.6,-10.5,173.4
가나,2001-05-31,303.8,-12.2,328.6
가나,2001-06-30,173.4,57.6,178.5
가나,2001-07-31,205.9,-50.4,219.9
가나,2001-08-31,-24.9,65.6,-30.2
가나,2001-09-30,26.5,54.0,25.2
가나,2001-10-31,-7.1,20.3,-11.1
가나,2001-11-30,-9.7,14.8,-13.3
가나,2001-12-31,-49.0,139.3,-56.3
가나,2002-01-31,-63.1,213.2,-73.3
가나,2002-02-28,-45.4,54.3,-52.6
가나,2002-03-31,-62.4,107.1,-72.5
가나,2002-04-30,-57.9,165.9,-65.2
가나,2002-05-31,-60.3,403.6,-67.7
가나,2002-06-30,-78.4,19.0,-80.9
가나,2002-07-31,-66.4,819.9,-73.9
가나,2002-08-31,-0.6,-17.1,1.7
가나,2002-09-30,-38.2,496.9,-71.1
가나,2002-10-31,-23.1,6.2,-29.0
가나,2002-11-30,6.0,190.7,-29.5
가나,2002-12-31,-18.2,-97.3,-1.2
가나,2003-01-31,6.9,74.6,-22.6
가나,2003-02-28,48.8,14.5,56.8
가나,2003-03-31,257.4,-72.4,405.1
가나,2003-04-30,523.9,32.3,647.4
가나,2003-05-31,-11.2,-57.9,0.5
가나,2003-06-30,12.7,-43.7,21.5
가나,2003-07-31,8.7,19.8,5.4
가나,2003-08-31,-43.8,-52.3,-42.8
가나,2003-09-30,38.3,-12.3,102.7
가나,2003-10-31,87.6,-33.1,123.6
가나,2003-11-30,-9.3,56.0,-61.1
가나,2003-12-31,35.5,5484.8,3.0
가나,2004-01-31,-7.2,-56.9,41.5
가나,2004-02-29,8.1,14.9,6.9
가나,2004-03-31,-37.2,189.5,-42.7
가나,2004-04-30,-58.6,-52.8,-58.9
가나,2004-05-31,3.4,8.4,2.8
가나,2004-06-30,107.4,214.3,99.6
가나,2004-07-31,19.7,-63.1,47.7
가나,2004-08-31,68.7,-95.6,84.5
가나,2004-09-30,102.6,-71.3,198.1
가나,2004-10-31,23.3,69.0,19.2
가나,2004-11-30,152.9,-58.4,823.7
가나,2004-12-31,65.6,-53.6,104.1
가나,2005-01-31,197.2,-5.0,257.6
가나,2005-02-28,65.0,-32.2,82.8
가나,2005-03-31,37.0,-22.1,44.3
가나,2005-04-30,-28.8,-2.1,-30.1
가나,2005-05-31,7.1,-26.6,10.9
가나,2005-06-30,21.0,-14.1,24.9
가나,2005-07-31,65.3,-15.9,72.2
가나,2005-08-31,50.7,8822.6,30.5
가나,2005-09-30,-9.3,95.5,-14.8
가나,2005-10-31,17.5,-1.3,19.8
가나,2005-11-30,-31.0,-59.7,-26.9
가나,2005-12-31,-3.5,20.8,-5.3
가나,2006-01-31,-29.7,139.0,-43.1
가나,2006-02-28,-23.9,-69.9,-20.8
가나,2006-03-31,-10.5,61.6,-15.3
가나,2006-04-30,19.7,21.2,19.6
가나,2006-05-31,26.9,92.8,22.0
가나,2006-06-30,-12.3,-10.7,-12.4
가나,2006-07-31,-3.0,25.5,-4.1
가나,2006-08-31,54.7,272.5,20.4
가나,2006-09-30,5.4,174.6,-15.1
가나,2006-10-31,11.9,51.3,7.8
가나,2006-11-30,28.6,472.6,-6.5
가나,2006-12-31,40.5,139.5,31.3
가나,2007-01-31,34.9,-15.6,51.7
가나,2007-02-28,46.7,594.4,32.6
가나,2007-03-31,25.3,183.1,5.2
가나,2007-04-30,10.9,203.9,-3.0
